language,hypothesis,algorithm,year_of_publication,age,country,category
,Mean is greater than 2,RL-HEP,,>56,germany,
en,Mean is greater than 2,RL-HEP,,>56,usa,
en,Mean is greater than 2,RL-HEP,,>56,australia,
en,Mean is greater than 2,RL-HEP,,>56,united kingdom,
en,Mean is greater than 2,RL-HEP,,>56,usa,Fiction
en,Mean is greater than 2,RL-HEP,,>56,usa,Travel
en,Mean is greater than 2,RL-HEP,,>56,usa,body-mind-and-spirit
,Mean is greater than 2,RL-HEP,60s,<18,,
en,Mean is greater than 2,RL-HEP,60s,,,
,Mean is greater than 2,RL-HEP,60s,50-55,,
,Mean is greater than 2,RL-HEP,60s,<18,usa,
en,Mean is greater than 2,RL-HEP,60s,<18,,
en,Mean is greater than 2,RL-HEP,60s,<18,usa,
it,Mean is greater than 2,RL-HEP,,18-24,,
it,Mean is greater than 2,RL-HEP,,,,Fiction
it,Mean is greater than 2,RL-HEP,,,,Juvenile Fiction
it,Mean is greater than 2,RL-HEP,90s,18-24,,
it,Mean is greater than 2,RL-HEP,,18-24,,Fiction
it,Mean is greater than 2,RL-HEP,,18-24,italy,
it,Mean is greater than 2,RL-HEP,90s,18-24,,Fiction
it,Mean is greater than 2,RL-HEP,90s,18-24,italy,
en,Mean is greater than 2,RL-HEP,,,australia,
,Mean is greater than 2,RL-HEP,,,australia,Psychology
,Mean is greater than 2,RL-HEP,,,australia,Political Science
en,Mean is greater than 2,RL-HEP,90s,,australia,
en,Mean is greater than 2,RL-HEP,,,australia,Psychology
en,Mean is greater than 2,RL-HEP,,<18,australia,
en,Mean is greater than 2,RL-HEP,90s,,australia,other
en,Mean is greater than 2,RL-HEP,90s,,australia,Literary Criticism
en,Mean is greater than 2,RL-HEP,90s,<18,australia,
de,Mean is greater than 2,RL-HEP,,25-34,,
en,Mean is greater than 2,RL-HEP,,25-34,,
,Mean is greater than 2,RL-HEP,,25-34,philippines,
de,Mean is greater than 2,RL-HEP,,25-34,austria,
de,Mean is greater than 2,RL-HEP,,25-34,,other
de,Mean is greater than 2,RL-HEP,,25-34,switzerland,
de,Mean is greater than 2,RL-HEP,2000s,25-34,austria,
de,Mean is greater than 2,RL-HEP,,25-34,austria,other
es,Mean is greater than 2,RL-HEP,70s,,,
de,Mean is greater than 2,RL-HEP,70s,,,
en,Mean is greater than 2,RL-HEP,70s,,,
es,Mean is greater than 2,RL-HEP,70s,,spain,
es,Mean is greater than 2,RL-HEP,70s,,,Fiction
es,Mean is greater than 2,RL-HEP,70s,,spain,Fiction
en,Mean is greater than 2,RL-HEP,,35-44,,
,Mean is greater than 2,RL-HEP,,35-44,italy,
de,Mean is greater than 2,RL-HEP,,35-44,,
en,Mean is greater than 2,RL-HEP,,35-44,,Fiction
en,Mean is greater than 2,RL-HEP,,35-44,portugal,
en,Mean is greater than 2,RL-HEP,,35-44,switzerland,
en,Mean is greater than 2,RL-HEP,,35-44,united kingdom,Fiction
en,Mean is greater than 2,RL-HEP,,35-44,usa,Fiction
en,Mean is greater than 2,RL-HEP,,35-44,canada,Fiction
