user_id,item_id,title,genre,runtime_minutes,year,gender,age,occupation,location,timestamp,rating
2,2501,October Sky (1999),Drama,Long,90s,M,>56,self-employed,LA,2000-12-31 21:36:40,5
190,1977,Friday the 13th: The Final Chapter (1984),Horror,Long,80s,M,25-34,technician-engineer,MN,2000-12-17 04:48:59,3
19,2888,Drive Me Crazy (1999),Comedy|Romance,Long,90s,M,<18,K-12 student,MI,2001-02-14 22:42:10,2
549,3820,Thomas and the Magic Railroad (2000),Children's,Long,2000s,M,25-34,doctor-health care,WI,2001-09-20 02:22:52,1
454,658,Billy's Holiday (1995),Drama,Long,90s,M,25-34,writer,MN,2002-07-02 01:45:50,3
48,15,Cutthroat Island (1995),Action|Adventure|Romance,Long,90s,M,25-34,college-grad student,CA,2000-12-29 05:09:15,2
411,3293,Conceiving Ada (1997),Drama|Sci-Fi,Long,90s,F,45-49,academic-educator,OH,2000-12-15 15:35:19,4
202,408,8 Seconds (1994),Drama,Long,90s,M,18-24,college-grad student,WI,2000-12-16 03:49:09,3
33,3168,Easy Rider (1969),Adventure|Drama,Long,60s,M,45-49,clerical-admin,MN,2000-12-29 17:18:16,3
123,2629,"Love Letter, The (1999)",Comedy|Romance,Long,90s,M,35-44,homemaker,KS,2000-12-22 01:06:47,2
62,664,Faithful (1996),Comedy,Long,90s,F,35-44,clerical-admin,WA,2000-12-27 08:47:09,3
39,1060,Swingers (1996),Comedy|Drama,Long,90s,M,18-24,college-grad student,IL,2000-12-28 22:47:11,5
175,3281,"Brandon Teena Story, The (1998)",Documentary,Long,90s,F,25-34,artist,CA,2000-12-18 03:40:17,4
889,155,Beyond Rangoon (1995),Drama|War,Long,90s,M,45-49,writer,NY,2000-11-26 16:06:12,2
48,280,Murder in the First (1995),Drama|Thriller,Long,90s,M,25-34,college-grad student,CA,2000-12-28 14:20:16,3
1274,2632,"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)",Drama,Long,60s,M,45-49,executive-managerial,TN,2002-09-13 09:55:04,4
293,1989,Prom Night III: The Last Kiss (1989),Horror,Long,90s,M,>56,academic-educator,N/A,2000-12-12 20:56:03,1
59,1066,Shall We Dance? (1937),Comedy|Musical|Romance,Long,30s,F,50-55,academic-educator,MN,2003-01-07 19:28:52,4
235,2099,Song of the South (1946),Adventure|Animation|Children's|Musical,Long,40s,M,25-34,other,N/A,2000-12-14 05:14:29,2
48,277,Miracle on 34th Street (1994),Drama,Long,90s,M,25-34,college-grad student,CA,2000-12-28 14:33:16,3
1,938,Gigi (1958),Musical,Long,50s,F,<18,K-12 student,MI,2000-12-31 22:29:12,4
48,673,Space Jam (1996),Adventure|Animation|Children's|Comedy|Fantasy,Long,90s,M,25-34,college-grad student,CA,2000-12-29 03:13:56,2
39,2906,Random Hearts (1999),Drama|Romance,Long,90s,M,18-24,college-grad student,IL,2000-12-28 22:58:02,2
2279,3025,Rough Night in Jericho (1967),Western,Long,60s,M,50-55,executive-managerial,NJ,2000-11-18 15:08:52,3
293,3677,Baraka (1992),Documentary,Long,90s,M,>56,academic-educator,N/A,2001-01-31 21:10:09,4
235,3680,"Decline of Western Civilization Part II: The Metal Years, The (1988)",Documentary,Long,80s,M,25-34,other,N/A,2000-12-14 05:03:25,5
339,2239,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),Comedy|Drama,Long,70s,M,50-55,executive-managerial,CO,2000-12-09 06:17:56,5
17,2105,Tron (1982),Action|Adventure|Fantasy|Sci-Fi,Long,80s,M,50-55,academic-educator,CA,2000-12-30 07:22:13,4
17,24,Powder (1995),Drama|Sci-Fi,Long,90s,M,50-55,academic-educator,CA,2000-12-30 07:22:13,3
33,3683,Blood Simple (1984),Drama|Film-Noir,Long,80s,M,45-49,clerical-admin,MN,2001-01-08 19:34:09,2
24,1057,Everyone Says I Love You (1996),Comedy|Musical|Romance,Long,90s,F,25-34,executive-managerial,NY,2000-12-29 23:41:45,4
123,2382,Police Academy 5: Assignment: Miami Beach (1988),Comedy,Long,80s,M,35-44,homemaker,KS,2000-12-23 16:53:43,1
53,1051,Trees Lounge (1996),Drama,Long,90s,M,25-34,other,GU,2000-12-28 06:31:21,2
5420,1843,Slappy and the Stinkers (1998),Children's|Comedy,Long,90s,F,<18,unemployed,NY,2000-06-04 22:08:25,3
850,792,"Hungarian Fairy Tale, A (1987)",Fantasy,Long,80s,M,35-44,other,IL,2000-11-27 20:33:13,4
531,801,Harriet the Spy (1996),Children's|Comedy,Long,90s,F,18-24,sales-marketing,VA,2001-01-04 22:10:16,2
293,1313,Mad Dog Time (1996),Crime,Long,90s,M,>56,academic-educator,N/A,2000-12-11 19:02:55,1
166,2504,200 Cigarettes (1999),Comedy|Drama,Long,90s,M,18-24,college-grad student,CA,2000-12-20 08:34:36,3
123,1715,Office Killer (1997),Thriller,Long,90s,M,35-44,homemaker,KS,2000-12-23 18:13:48,2
245,2900,Monkey Shines (1988),Horror|Sci-Fi,Long,80s,M,35-44,self-employed,KS,2000-12-13 18:43:09,1
329,2507,Breakfast of Champions (1999),Comedy,Long,90s,M,35-44,executive-managerial,MA,2000-12-09 20:26:53,1
2,920,Gone with the Wind (1939),Drama|Romance|War,Very Long,30s,M,>56,self-employed,LA,2000-12-31 21:39:35,5
24,2757,Frances (1982),Drama,Long,80s,F,25-34,executive-managerial,NY,2001-04-01 20:31:30,4
53,2114,"Outsiders, The (1983)",Drama,Long,80s,M,25-34,other,GU,2000-12-28 06:24:17,4
146,935,"Band Wagon, The (1953)",Comedy|Musical,Long,50s,F,35-44,writer,NY,2003-01-10 21:04:17,4
264,536,"Simple Twist of Fate, A (1994)",Drama,Long,90s,M,35-44,other,MD,2000-12-13 12:36:40,4
390,1331,Audrey Rose (1977),Horror,Long,70s,M,25-34,college-grad student,MN,2000-12-08 19:33:11,4
19,2644,Dracula (1931),Horror,Long,30s,M,<18,K-12 student,MI,2001-01-03 20:53:42,4
53,18,Four Rooms (1995),Thriller,Long,90s,M,25-34,other,GU,2000-12-28 03:44:28,4
139,3942,Sorority House Massacre II (1990),Horror,Long,90s,F,25-34,writer,OH,2000-12-21 00:49:10,1
1897,1444,Guantanamera (1994),Comedy,Long,90s,F,50-55,artist,CA,2000-12-07 03:18:27,3
1111,146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,Long,90s,F,50-55,self-employed,OH,2000-11-22 18:55:02,5
216,941,"Mark of Zorro, The (1940)",Adventure,Long,40s,M,45-49,retired,IA,2000-12-15 08:18:33,4
123,3287,"Tigger Movie, The (2000)",Animation|Children's,Long,2000s,M,35-44,homemaker,KS,2001-01-12 18:58:18,3
33,932,"Affair to Remember, An (1957)",Romance,Long,50s,M,45-49,clerical-admin,MN,2000-12-29 17:00:50,3
19,2638,"Mummy's Tomb, The (1942)",Horror,Long,40s,M,<18,K-12 student,MI,2001-01-03 20:51:44,4
1181,1849,Prince Valiant (1997),Adventure,Long,90s,M,35-44,executive-managerial,MD,2000-12-07 00:20:04,1
62,1727,"Horse Whisperer, The (1998)",Drama,Long,90s,F,35-44,clerical-admin,WA,2000-12-27 08:16:08,4
146,3814,Love and Death (1975),Comedy,Long,70s,F,35-44,writer,NY,2001-01-19 21:49:56,3
1068,1063,Johns (1996),Drama,Long,90s,F,18-24,college-grad student,TX,2000-11-23 22:36:38,3
136,3159,Fantasia 2000 (1999),Animation|Children's|Musical,Long,90s,M,18-24,artist,MD,2000-12-21 18:30:15,3
1,1721,Titanic (1997),Drama|Romance,Long,90s,F,<18,K-12 student,MI,2000-12-31 22:00:55,4
131,1596,Career Girls (1997),Drama,Long,90s,M,18-24,college-grad student,CT,2000-12-21 21:29:40,4
17,2117,Nineteen Eighty-Four (1984),Drama|Sci-Fi,Long,80s,M,50-55,academic-educator,CA,2000-12-30 07:18:00,4
195,1456,"Pest, The (1997)",Comedy,Long,90s,M,25-34,programmer,NY,2003-02-08 00:07:32,2
15,1840,He Got Game (1998),Drama,Long,90s,M,25-34,executive-managerial,VA,2000-12-30 17:31:33,2
48,1459,Absolute Power (1997),Mystery|Thriller,Long,90s,M,25-34,college-grad student,CA,2000-12-28 14:31:03,3
166,2513,Pet Sematary (1989),Horror,Long,80s,M,18-24,college-grad student,CA,2000-12-20 08:04:57,3
2,3418,Thelma & Louise (1991),Action|Drama,Long,90s,M,>56,self-employed,LA,2000-12-31 21:56:49,4
44,3412,"Bear, The (1988)",Adventure,Long,80s,M,45-49,technician-engineer,WA,2001-10-30 02:56:30,2
216,1194,Up in Smoke (1978),Comedy,Long,70s,M,45-49,retired,IA,2000-12-15 07:10:15,4
1010,411,You So Crazy (1994),Comedy,Long,90s,M,25-34,other,NY,2000-11-26 07:09:26,1
15,3948,Meet the Parents (2000),Comedy,Long,2000s,M,25-34,executive-managerial,VA,2000-12-30 17:35:34,3
19,2367,King Kong (1976),Action|Adventure|Horror,Long,70s,M,<18,K-12 student,MI,2001-02-14 22:44:54,2
202,414,"Air Up There, The (1994)",Comedy,Long,90s,M,18-24,college-grad student,WI,2000-12-16 04:25:16,2
235,152,"Addiction, The (1995)",Horror,Long,90s,M,25-34,other,N/A,2000-12-14 04:59:57,2
889,2775,Head On (1998),Drama,Long,90s,M,45-49,writer,NY,2000-11-26 16:09:00,2
155,1581,Out to Sea (1997),Comedy,Long,90s,M,35-44,programmer,NJ,2000-12-19 20:08:42,2
24,2245,Working Girl (1988),Comedy|Drama,Long,80s,F,25-34,executive-managerial,NY,2000-12-29 23:22:43,4
352,283,New Jersey Drive (1995),Crime|Drama,Long,90s,M,18-24,college-grad student,IL,2000-12-09 04:25:55,3
235,137,Man of the Year (1995),Documentary,Long,90s,M,25-34,other,N/A,2000-12-14 05:04:08,3
59,3811,Breaker Morant (1980),Drama|War,Long,80s,F,50-55,academic-educator,MN,2000-12-27 16:22:40,4
329,2498,My Favorite Martian (1999),Comedy|Sci-Fi,Long,90s,M,35-44,executive-managerial,MA,2000-12-09 20:44:16,1
33,3019,Drugstore Cowboy (1989),Crime|Drama,Long,80s,M,45-49,clerical-admin,MN,2001-01-08 19:45:26,5
195,3150,"War Zone, The (1999)",Drama,Long,90s,M,25-34,programmer,NY,2002-03-01 05:41:07,4
3393,1724,Full Speed (1996),Drama,Long,90s,M,35-44,programmer,IL,2000-08-28 20:31:12,3
151,3299,Hanging Up (2000),Comedy|Drama,Long,2000s,F,25-34,writer,AZ,2001-05-26 00:41:28,2
19,3409,Final Destination (2000),Drama|Thriller,Long,2000s,M,<18,K-12 student,MI,2001-02-14 22:43:22,2
15,3421,Animal House (1978),Comedy,Long,70s,M,25-34,executive-managerial,VA,2000-12-30 17:09:30,4
54,3037,Little Big Man (1970),Comedy|Drama|Western,Long,70s,M,50-55,academic-educator,MN,2000-12-27 19:20:16,4
733,2251,"Cabinet of Dr. Ramirez, The (1991)",Comedy,Long,90s,M,35-44,self-employed,GA,2000-11-29 07:25:30,4
139,2495,"Fantastic Planet, The (La Planète sauvage) (1973)",Animation|Sci-Fi,Long,70s,F,25-34,writer,OH,2000-12-21 00:51:23,3
352,3165,Boiling Point (1993),Action|Drama,Long,90s,M,18-24,college-grad student,IL,2000-12-09 03:50:48,1
1470,1718,Stranger in the House (1997),Thriller,Long,90s,M,18-24,college-grad student,CA,2000-11-21 19:57:20,1
18,2370,"Emerald Forest, The (1985)",Action|Adventure|Drama,Long,80s,F,18-24,clerical-admin,CA,2000-12-30 05:17:33,5
17,3156,Bicentennial Man (1999),Comedy|Drama|Sci-Fi,Long,90s,M,50-55,academic-educator,CA,2000-12-30 07:23:13,4
1,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance,Long,80s,F,<18,K-12 student,MI,2000-12-31 22:37:48,3
2,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,Long,90s,M,>56,self-employed,LA,2000-12-31 21:43:46,4
48,798,Daylight (1996),Action|Adventure|Thriller,Long,90s,M,25-34,college-grad student,CA,2000-12-29 05:09:59,2
18,405,Highlander III: The Sorcerer (1994),Action|Sci-Fi,Long,90s,F,18-24,clerical-admin,CA,2000-12-30 05:24:34,1
383,807,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)",Comedy|Romance,Long,90s,F,25-34,executive-managerial,TX,2000-12-08 18:31:08,4
42,2111,"Man with Two Brains, The (1983)",Comedy,Long,80s,M,25-34,farmer,VA,2000-12-28 22:19:42,4
136,2361,Pink Flamingos (1972),Comedy,Long,70s,M,18-24,artist,MD,2000-12-21 18:09:48,5
4553,3290,Soft Toilet Seats (1999),Comedy,Long,90s,F,35-44,self-employed,MI,2000-07-25 18:55:53,3
1,527,Schindler's List (1993),Drama|War,Long,90s,F,<18,K-12 student,MI,2001-01-06 23:36:35,5
24,3424,Do the Right Thing (1989),Comedy|Drama,Long,80s,F,25-34,executive-managerial,NY,2000-12-29 23:20:11,4
146,804,She's the One (1996),Comedy|Romance,Long,90s,F,35-44,writer,NY,2000-12-20 21:35:38,1
44,3028,"Taming of the Shrew, The (1967)",Comedy,Long,60s,M,45-49,technician-engineer,WA,2000-12-28 16:06:51,5
62,1203,12 Angry Men (1957),Drama,Long,50s,F,35-44,clerical-admin,WA,2000-12-28 02:22:34,4
889,1322,Amityville 1992: It's About Time (1992),Horror,Long,90s,M,45-49,writer,NY,2000-11-27 22:34:46,1
17,1200,Aliens (1986),Action|Sci-Fi|Thriller|War,Long,80s,M,50-55,academic-educator,CA,2000-12-30 07:13:56,4
3072,679,"Run of the Country, The (1995)",Drama,Long,90s,M,50-55,academic-educator,MN,2000-09-26 04:49:03,4
424,3933,"Killer Shrews, The (1959)",Horror|Sci-Fi,Long,50s,M,25-34,technician-engineer,MN,2002-04-01 20:49:39,3
225,2626,Edge of Seventeen (1998),Comedy|Drama|Romance,Long,90s,M,25-34,executive-managerial,NY,2000-12-14 22:28:05,3
62,3296,To Sir with Love (1967),Drama,Long,60s,F,35-44,clerical-admin,WA,2000-12-28 02:16:15,4
524,1447,Gridlock'd (1997),Crime,Long,90s,M,18-24,other,CA,2000-12-07 06:13:31,4
19,1974,Friday the 13th (1980),Horror,Long,80s,M,<18,K-12 student,MI,2001-02-14 22:43:22,3
1266,3945,Digimon: The Movie (2000),Adventure|Animation|Children's,Long,2000s,M,25-34,college-grad student,PA,2001-04-05 03:03:36,1
39,2772,Detroit Rock City (1999),Comedy,Long,90s,M,18-24,college-grad student,IL,2000-12-28 22:51:12,4
42,1590,Event Horizon (1997),Action|Mystery|Sci-Fi|Thriller,Long,90s,M,25-34,farmer,VA,2000-12-28 21:46:59,3
261,1453,"Beautician and the Beast, The (1997)",Comedy|Romance,Long,90s,M,25-34,writer,TX,2000-12-13 02:14:45,2
195,12,Dracula: Dead and Loving It (1995),Comedy|Horror,Long,90s,M,25-34,programmer,NY,2001-04-07 19:29:09,2
699,274,Man of the House (1995),Comedy,Long,90s,M,18-24,other,OK,2001-04-06 04:53:53,3
4169,530,Second Best (1994),Drama,Long,90s,M,50-55,other,KS,2000-12-12 02:48:31,4
12,923,Citizen Kane (1941),Drama,Long,40s,M,25-34,programmer,FL,2000-12-30 23:50:37,5
1017,2635,"Mummy's Curse, The (1944)",Horror,Short,40s,M,35-44,other,GA,2000-11-23 20:28:29,4
192,9,Sudden Death (1995),Action,Long,90s,M,18-24,academic-educator,NY,2000-12-25 22:06:29,1
123,2108,L.A. Story (1991),Comedy|Romance,Long,90s,M,35-44,homemaker,KS,2000-12-28 23:38:45,3
334,3936,"Phantom of the Opera, The (1943)",Drama|Thriller,Long,40s,F,>56,artist,MN,2000-12-09 16:09:22,4
2,3147,"Green Mile, The (1999)",Drama|Thriller,Long,90s,M,>56,self-employed,LA,2000-12-31 21:37:32,5
17,1185,My Left Foot (1989),Drama,Long,80s,M,50-55,academic-educator,CA,2000-12-30 06:41:11,5
95,1858,Mr. Nice Guy (1997),Action|Comedy,Long,90s,M,45-49,other,WA,2000-12-24 03:06:55,4
2,1968,"Breakfast Club, The (1985)",Comedy|Drama,Long,80s,M,>56,self-employed,LA,2000-12-31 21:41:21,2
59,3808,Two Women (La Ciociara) (1961),Drama|War,Long,60s,F,50-55,academic-educator,MN,2000-12-27 16:20:38,4
62,929,Foreign Correspondent (1940),Thriller,Long,40s,F,35-44,clerical-admin,WA,2000-12-27 09:30:32,4
5323,134,Sonic Outlaws (1995),Documentary,Long,90s,M,25-34,writer,CA,2000-06-12 22:23:28,4
123,3689,Porky's II: The Next Day (1983),Comedy,Long,80s,M,35-44,homemaker,KS,2000-12-23 18:19:28,2
17,1584,Contact (1997),Drama|Sci-Fi,Long,90s,M,50-55,academic-educator,CA,2000-12-30 07:16:56,4
245,1971,"Nightmare on Elm Street 4: The Dream Master, A (1988)",Horror,Long,80s,M,35-44,self-employed,KS,2000-12-14 21:06:46,2
3842,396,Fall Time (1995),Drama,Long,90s,F,35-44,self-employed,CA,2001-01-20 11:03:10,4
192,548,Terminal Velocity (1994),Action,Long,90s,M,18-24,academic-educator,NY,2000-12-25 22:02:49,3
225,149,Amateur (1994),Crime|Drama|Thriller,Long,90s,M,25-34,executive-managerial,NY,2000-12-15 20:34:42,3
195,670,"World of Apu, The (Apur Sansar) (1959)",Drama,Long,50s,M,25-34,programmer,NY,2002-05-12 04:52:30,5
136,1191,Madonna: Truth or Dare (1991),Documentary,Long,90s,M,18-24,artist,MD,2000-12-21 18:43:29,4
2,21,Get Shorty (1995),Action|Comedy|Drama,Long,90s,M,>56,self-employed,LA,2000-12-31 21:57:19,1
33,926,All About Eve (1950),Drama,Long,50s,M,45-49,clerical-admin,MN,2001-01-08 19:39:43,3
42,3153,"7th Voyage of Sinbad, The (1958)",Action|Adventure|Fantasy,Long,50s,M,25-34,farmer,VA,2000-12-28 22:04:25,3
58,2364,Godzilla (Gojira) (1984),Action|Sci-Fi,Long,80s,M,25-34,artist,GA,2000-12-27 18:35:04,4
192,2894,Romance (1999),Drama|Romance,Long,90s,M,18-24,academic-educator,NY,2001-12-25 16:31:12,1
48,542,Son in Law (1993),Comedy,Long,90s,M,25-34,college-grad student,CA,2000-12-30 03:31:34,3
19,1334,"Blob, The (1958)",Horror|Sci-Fi,Long,50s,M,<18,K-12 student,MI,2001-01-03 20:56:44,3
44,1983,Halloween II (1981),Horror,Long,80s,M,45-49,technician-engineer,WA,2000-12-28 22:09:30,1
139,2102,Steamboat Willie (1940),Animation|Children's|Comedy|Musical,Short,20s,F,25-34,writer,OH,2000-12-21 00:58:12,3
195,3951,Two Family House (2000),Drama,Long,2000s,M,25-34,programmer,NY,2002-10-03 03:55:44,5
580,402,Open Season (1996),Comedy,Long,90s,M,<18,K-12 student,NJ,2000-12-04 23:13:01,3
18,2248,Say Anything... (1989),Comedy|Drama|Romance,Long,80s,F,18-24,clerical-admin,CA,2000-12-30 06:07:10,4
151,1593,Picture Perfect (1997),Comedy|Romance,Long,90s,F,25-34,writer,AZ,2001-01-05 08:16:49,4
327,3284,They Might Be Giants (1971),Comedy|Romance,Long,70s,M,35-44,tradesman-craftsman,MN,2000-12-09 21:52:16,3
19,2376,"View to a Kill, A (1985)",Action,Long,80s,M,<18,K-12 student,MI,2000-12-30 03:32:45,4
166,3674,For the Love of Benji (1977),Adventure|Children's,Long,70s,M,18-24,college-grad student,CA,2000-12-20 09:07:57,3
62,3430,Death Wish (1974),Action|Drama,Long,70s,F,35-44,clerical-admin,WA,2000-12-28 02:06:10,2
151,140,Up Close and Personal (1996),Drama|Romance,Long,90s,F,25-34,writer,AZ,2001-01-05 08:15:53,3
1317,3817,"Other Side of Sunday, The (Søndagsengler) (1996)",Comedy|Drama,Long,90s,M,45-49,executive-managerial,WA,2001-01-21 01:26:28,5
1470,789,"I, Worst of All (Yo, la peor de todas) (1990)",Drama,Long,90s,M,18-24,college-grad student,CA,2000-11-21 20:33:07,2
319,271,Losing Isaiah (1995),Drama,Long,90s,F,50-55,doctor-health care,FL,2000-12-10 04:01:26,2
48,533,"Shadow, The (1994)",Action,Long,90s,M,25-34,college-grad student,CA,2000-12-29 05:08:13,3
18,2373,Red Sonja (1985),Action|Adventure,Long,80s,F,18-24,clerical-admin,CA,2000-12-30 05:24:54,3
42,3555,U-571 (2000),Action|Thriller,Long,2000s,M,25-34,farmer,VA,2000-12-28 22:03:37,4
44,1986,Halloween 5: The Revenge of Michael Myers (1989),Horror,Long,80s,M,45-49,technician-engineer,WA,2000-12-28 22:09:30,1
677,2760,"Gambler, The (A Játékos) (1997)",Drama,Long,90s,M,50-55,artist,CA,2000-11-30 18:53:33,5
331,2885,Guinevere (1999),Drama|Romance,Long,90s,M,25-34,executive-managerial,MN,2001-03-09 16:00:47,4
19,3552,Caddyshack (1980),Comedy,Long,80s,M,<18,K-12 student,MI,2001-01-03 21:21:49,3
28,3671,Blazing Saddles (1974),Comedy|Western,Long,70s,F,25-34,academic-educator,NY,2000-12-29 21:44:37,4
123,2242,"Grandview, U.S.A. (1984)",Drama,Long,80s,M,35-44,homemaker,KS,2000-12-23 18:10:08,2
15,6,Heat (1995),Action|Crime|Thriller,Long,90s,M,25-34,executive-managerial,VA,2000-12-30 17:44:10,4
195,3031,Repossessed (1990),Comedy,Long,90s,M,25-34,programmer,NY,2001-05-29 03:14:10,3
281,2766,"Adventures of Sebastian Cole, The (1998)",Comedy|Drama,Long,90s,F,35-44,other,CA,2000-12-11 21:55:59,3
1,661,James and the Giant Peach (1996),Animation|Children's|Musical,Long,90s,F,<18,K-12 student,MI,2000-12-31 22:35:09,3
301,1465,Rosewood (1997),Drama,Long,90s,M,18-24,college-grad student,IL,2000-12-11 22:31:37,3
17,1069,"Murder, My Sweet (1944)",Film-Noir|Thriller,Long,40s,M,50-55,academic-educator,CA,2000-12-30 06:50:13,4
424,2903,Psycho III (1986),Horror|Thriller,Long,80s,M,25-34,technician-engineer,MN,2002-03-21 14:53:04,2
390,2754,Deadtime Stories (1987),Horror,Long,80s,M,25-34,college-grad student,MN,2000-12-08 21:37:41,4
524,3805,Knightriders (1981),Action|Adventure|Drama,Long,80s,M,18-24,other,CA,2000-12-07 06:35:08,3
151,3823,Wonderland (1999),Drama,Long,90s,F,25-34,writer,AZ,2001-08-24 23:36:42,3
33,3546,What Ever Happened to Baby Jane? (1962),Drama|Thriller,Long,60s,M,45-49,clerical-admin,MN,2001-01-03 22:00:04,4
33,3016,Creepshow (1982),Horror,Long,80s,M,45-49,clerical-admin,MN,2001-01-08 20:27:34,3
62,3543,Diner (1982),Comedy|Drama,Long,80s,F,35-44,clerical-admin,WA,2000-12-27 09:16:54,4
1470,1852,Love Walked In (1998),Drama|Thriller,Long,90s,M,18-24,college-grad student,CA,2000-11-21 20:39:10,2
438,1837,"Odd Couple II, The (1998)",Comedy,Long,90s,M,18-24,lawyer,WI,2000-12-08 06:50:19,3
53,3686,Flatliners (1990),Thriller,Long,90s,M,25-34,other,GU,2000-12-28 03:36:00,4
49,1054,Get on the Bus (1996),Drama,Long,90s,M,18-24,programmer,TX,2000-12-28 03:12:14,5
42,2641,Superman II (1980),Action|Adventure|Sci-Fi,Long,80s,M,25-34,farmer,VA,2000-12-28 21:39:50,4
195,1855,Krippendorf's Tribe (1998),Comedy,Long,90s,M,25-34,programmer,NY,2001-01-30 08:45:36,3
1470,2233,Digging to China (1998),Drama,Long,90s,M,18-24,college-grad student,CA,2000-11-21 20:29:40,2
2,1188,Strictly Ballroom (1992),Comedy|Romance,Long,90s,M,>56,self-employed,LA,2000-12-31 21:53:40,4
699,3162,Simpatico (1999),Comedy|Drama,Long,90s,M,18-24,other,OK,2000-11-30 04:17:48,1
231,1980,Friday the 13th Part VII: The New Blood (1988),Horror,Long,80s,M,25-34,clerical-admin,MN,2003-01-23 04:10:45,1
195,810,Kazaam (1996),Children's|Comedy|Fantasy,Long,90s,M,25-34,programmer,NY,2001-08-21 04:23:59,2
62,3,Grumpier Old Men (1995),Comedy|Romance,Long,90s,F,35-44,clerical-admin,WA,2000-12-27 08:16:08,3
208,2492,20 Dates (1998),Comedy,Long,90s,M,35-44,technician-engineer,MN,2000-12-15 21:31:35,3
889,1325,Amityville: A New Generation (1993),Horror,Long,90s,M,45-49,writer,NY,2000-11-27 22:34:32,2
151,3540,Passion of Mind (1999),Romance|Thriller,Long,2000s,F,25-34,writer,AZ,2001-05-25 23:35:29,4
2,2236,Simon Birch (1998),Drama,Long,90s,M,>56,self-employed,LA,2000-12-31 21:47:00,5
42,3802,Freejack (1992),Action|Sci-Fi,Long,90s,M,25-34,farmer,VA,2000-12-28 21:48:21,4
88,2927,Brief Encounter (1946),Drama|Romance,Long,40s,F,45-49,academic-educator,MA,2000-12-24 22:03:17,5
3576,3585,"Great Locomotive Chase, The (1956)",Adventure|War,Long,50s,M,50-55,executive-managerial,NE,2000-08-19 21:15:30,3
