user_id,gender,age,occupation,location
1787,M,18-24,farmer,CA
153,M,<18,K-12 student,IA
4764,M,<18,K-12 student,NH
3518,F,18-24,executive-managerial,NY
1363,M,50-55,executive-managerial,MA
2102,M,25-34,lawyer,MI
3470,M,35-44,technician-engineer,MI
2174,M,50-55,programmer,NM
4125,M,35-44,artist,NY
3409,M,25-34,college-grad student,MI
2163,M,18-24,other,NM
5723,M,18-24,programmer,MN
2464,F,18-24,college-grad student,OH
1356,F,18-24,college-grad student,CA
1510,F,25-34,academic-educator,MI
108,M,25-34,programmer,GA
5063,F,<18,K-12 student,VA
3925,M,25-34,programmer,TX
2773,M,35-44,artist,TX
2604,M,25-34,other,OH
5728,F,35-44,writer,AE
271,M,18-24,college-grad student,MI
1975,M,18-24,college-grad student,OR
3480,M,25-34,other,MT
4522,M,45-49,academic-educator,CO
2325,F,18-24,college-grad student,NC
1685,M,35-44,programmer,CA
803,M,18-24,college-grad student,KS
3313,M,35-44,writer,CA
5853,M,50-55,unemployed,NY
5147,M,18-24,other,MI
4496,M,45-49,artist,CT
2643,M,45-49,technician-engineer,WA
16,F,35-44,other,MD
855,F,18-24,artist,AR
4016,M,50-55,other,FL
5679,M,35-44,artist,FL
1965,M,>56,technician-engineer,MI
398,M,25-34,technician-engineer,MN
5204,M,50-55,retired,MN
1987,M,25-34,technician-engineer,IL
2890,M,35-44,executive-managerial,CA
3770,F,35-44,clerical-admin,IA
4469,F,45-49,programmer,CA
433,M,50-55,doctor-health care,MN
923,M,25-34,executive-managerial,TN
4157,M,50-55,tradesman-craftsman,OR
620,M,18-24,other,NY
2607,F,>56,other,MI
1819,F,35-44,programmer,OH
583,F,25-34,other,MI
5360,M,18-24,programmer,N/A
2492,F,45-49,artist,TN
3209,M,25-34,other,MD
1565,M,45-49,technician-engineer,TX
297,M,18-24,artist,OR
5690,M,18-24,college-grad student,TX
4709,M,45-49,other,CT
1522,M,35-44,writer,NY
436,M,18-24,college-grad student,OH
1909,M,18-24,college-grad student,NV
1577,M,>56,other,N/A
1060,M,18-24,K-12 student,NY
2914,M,25-34,college-grad student,CA
5817,M,25-34,technician-engineer,FL
1991,M,25-34,writer,MI
5961,F,45-49,other,TX
4555,F,18-24,homemaker,OK
4494,M,45-49,other,FL
3651,M,25-34,sales-marketing,WA
1100,M,25-34,other,IL
1314,F,18-24,college-grad student,NE
421,F,45-49,clerical-admin,MN
5538,M,45-49,programmer,MN
4363,M,35-44,sales-marketing,CA
2737,M,25-34,clerical-admin,IA
3291,F,25-34,executive-managerial,NC
1262,M,25-34,college-grad student,VA
2986,M,25-34,college-grad student,VA
3855,M,25-34,technician-engineer,MD
722,M,25-34,programmer,MN
2781,M,35-44,college-grad student,OH
4199,F,25-34,homemaker,FL
2050,F,35-44,clerical-admin,AK
4249,F,18-24,technician-engineer,MO
5198,F,18-24,college-grad student,MN
4434,F,35-44,executive-managerial,IL
3272,M,35-44,other,NJ
4578,M,25-34,other,MA
5137,M,18-24,tradesman-craftsman,MO
655,F,25-34,artist,CA
1457,M,25-34,academic-educator,CA
27,M,25-34,lawyer,PA
2940,M,25-34,other,MA
3586,M,35-44,writer,IL
4170,M,45-49,executive-managerial,WI
1067,M,35-44,programmer,CA
5517,M,>56,other,CO
4625,M,25-34,executive-managerial,CA
4509,M,25-34,executive-managerial,TN
4599,F,35-44,other,ME
1058,M,25-34,academic-educator,OR
86,F,<18,K-12 student,WI
4577,M,35-44,executive-managerial,MI
137,F,45-49,doctor-health care,TX
262,F,25-34,academic-educator,NE
3139,M,>56,retired,NV
4980,M,25-34,academic-educator,MN
2084,M,18-24,college-grad student,VA
4217,M,18-24,college-grad student,PA
5490,M,45-49,technician-engineer,CO
4015,F,45-49,clerical-admin,TX
445,M,45-49,programmer,MN
5325,F,50-55,executive-managerial,AZ
1211,M,18-24,college-grad student,NY
1135,M,50-55,retired,WA
159,F,45-49,other,TN
3094,M,35-44,other,GA
365,F,18-24,college-grad student,MA
2320,F,50-55,academic-educator,CT
1415,M,45-49,sales-marketing,VA
5812,F,25-34,executive-managerial,CA
1056,M,<18,other,MI
745,M,<18,K-12 student,CA
5168,M,35-44,executive-managerial,MA
2317,F,45-49,homemaker,SD
1844,F,18-24,college-grad student,WI
4828,F,18-24,writer,IL
2851,F,25-34,executive-managerial,CA
3457,M,25-34,writer,PA
4800,M,18-24,college-grad student,CO
1784,M,18-24,writer,PA
5584,F,50-55,other,NY
4531,M,18-24,college-grad student,AZ
3392,M,50-55,doctor-health care,NJ
176,F,18-24,clerical-admin,MN
1854,M,25-34,other,CA
645,M,35-44,writer,NY
2083,M,18-24,college-grad student,N/A
4927,M,45-49,other,OR
895,M,50-55,academic-educator,FL
5896,M,25-34,other,IL
2471,M,50-55,retired,WA
4585,M,35-44,executive-managerial,GA
3225,M,18-24,other,PA
5246,F,18-24,other,MO
4581,M,25-34,academic-educator,PA
4304,M,18-24,other,IN
4713,M,25-34,technician-engineer,CA
1930,M,25-34,scientist,CA
4354,M,35-44,sales-marketing,TX
1322,M,>56,other,CA
3568,M,25-34,other,WA
1078,F,45-49,homemaker,CA
863,M,25-34,executive-managerial,IL
1628,M,18-24,writer,CA
3608,F,35-44,homemaker,RI
3834,M,18-24,artist,MA
4633,M,<18,other,MI
4462,F,25-34,other,IL
5645,M,25-34,artist,NM
2853,M,<18,academic-educator,N/A
2051,M,35-44,executive-managerial,CA
1165,M,25-34,programmer,OH
3138,M,35-44,technician-engineer,IN
4620,F,18-24,technician-engineer,CA
3764,M,25-34,academic-educator,CT
3444,M,50-55,sales-marketing,FL
4883,F,<18,K-12 student,RI
3417,F,18-24,artist,NY
5823,M,25-34,programmer,MA
1576,F,45-49,homemaker,AZ
4831,F,25-34,academic-educator,ME
1331,M,45-49,other,NY
2218,M,35-44,technician-engineer,MO
5109,F,45-49,doctor-health care,DE
2384,M,35-44,technician-engineer,IL
4641,M,25-34,executive-managerial,DC
2095,M,>56,retired,ND
5811,M,18-24,college-grad student,IL
5995,F,35-44,academic-educator,NY
4205,F,25-34,scientist,NM
294,F,45-49,homemaker,OH
5347,M,25-34,doctor-health care,WI
5950,M,25-34,college-grad student,DE
4183,M,25-34,academic-educator,CA
1154,F,<18,K-12 student,WI
5313,M,>56,other,MN
4180,M,>56,retired,NY
252,M,25-34,programmer,CA
5794,M,35-44,technician-engineer,WI
5368,F,25-34,technician-engineer,VA
5369,M,25-34,scientist,MA
4111,M,25-34,scientist,FL
3985,M,45-49,self-employed,MA
5979,M,25-34,academic-educator,OH
2753,F,50-55,writer,NC
2108,M,<18,K-12 student,IL
2014,M,18-24,college-grad student,WI
1091,M,18-24,customer service,N/A
1472,M,25-34,executive-managerial,CA
3572,M,35-44,lawyer,ME
996,M,25-34,technician-engineer,WA
4655,F,25-34,academic-educator,CA
3820,M,25-34,technician-engineer,CA
5660,M,25-34,artist,TX
4570,M,45-49,technician-engineer,IL
4545,M,25-34,self-employed,IN
3842,F,35-44,self-employed,CA
4140,M,25-34,other,FL
5380,M,18-24,college-grad student,N/A
2833,M,25-34,scientist,AZ
643,M,25-34,artist,VA
5583,M,>56,scientist,TN
2201,M,>56,writer,IN
5311,M,50-55,other,N/A
4129,M,>56,lawyer,NY
4451,M,25-34,sales-marketing,GA
3671,M,25-34,college-grad student,WA
1391,M,35-44,scientist,MD
2124,M,25-34,other,NY
5417,M,18-24,technician-engineer,PA
5437,M,25-34,lawyer,MN
1867,M,50-55,executive-managerial,CA
6005,F,25-34,customer service,NC
951,M,45-49,artist,NY
1459,F,25-34,other,CO
4490,M,35-44,customer service,LA
1550,M,18-24,college-grad student,NY
2972,M,25-34,college-grad student,OR
3184,F,25-34,tradesman-craftsman,MD
894,M,18-24,college-grad student,GA
2371,F,35-44,executive-managerial,CT
677,M,50-55,artist,CA
5882,M,35-44,executive-managerial,IL
375,M,25-34,artist,MN
3576,M,50-55,executive-managerial,NE
5229,M,25-34,other,IL
3744,M,25-34,other,IL
1733,M,18-24,sales-marketing,OH
2889,M,35-44,clerical-admin,MN
3216,M,35-44,academic-educator,WI
976,M,35-44,sales-marketing,NV
2656,M,>56,retired,FL
1349,M,50-55,executive-managerial,NY
1487,M,35-44,executive-managerial,NJ
1193,M,25-34,programmer,CA
1429,F,35-44,clerical-admin,NY
32,F,25-34,other,PA
164,F,>56,retired,CA
4021,M,50-55,writer,CA
764,M,18-24,writer,AZ
5539,F,25-34,writer,CA
1214,M,>56,retired,CA
2801,F,25-34,clerical-admin,NY
5451,F,25-34,academic-educator,WA
2642,M,25-34,other,FL
5070,M,25-34,artist,MN
2401,M,25-34,college-grad student,VA
1644,M,18-24,programmer,CA
1143,M,50-55,executive-managerial,CA
5333,F,25-34,executive-managerial,MA
1547,M,>56,retired,MA
4592,M,18-24,college-grad student,KS
1469,M,>56,writer,CA
4190,M,45-49,technician-engineer,NV
641,F,35-44,other,MN
3657,M,18-24,technician-engineer,CA
3371,M,25-34,artist,MN
1529,M,18-24,college-grad student,OR
4325,M,25-34,other,GA
358,F,>56,academic-educator,MD
1484,M,25-34,programmer,NJ
595,M,25-34,executive-managerial,NY
2818,M,25-34,programmer,MN
3443,F,35-44,technician-engineer,MI
5902,M,50-55,self-employed,TX
4576,F,25-34,executive-managerial,MI
4771,F,25-34,college-grad student,ME
3498,M,25-34,technician-engineer,NC
5569,F,18-24,academic-educator,NJ
5836,M,25-34,other,CA
5484,M,45-49,technician-engineer,MD
2054,M,25-34,programmer,NH
736,M,18-24,programmer,NJ
5224,M,35-44,academic-educator,NY
5732,F,25-34,lawyer,MA
1426,M,18-24,sales-marketing,CA
562,M,35-44,writer,MI
3105,M,35-44,programmer,WA
2270,M,18-24,academic-educator,NY
1532,M,18-24,sales-marketing,OH
5903,M,25-34,lawyer,CT
5144,F,50-55,other,KS
981,M,25-34,writer,MA
5091,M,25-34,technician-engineer,DE
363,M,18-24,K-12 student,MN
653,M,>56,retired,CA
1204,M,25-34,executive-managerial,CA
3997,M,35-44,technician-engineer,OH
2902,M,25-34,programmer,WA
5286,M,45-49,self-employed,OR
666,F,18-24,other,NJ
2734,F,18-24,college-grad student,RI
4341,M,35-44,technician-engineer,FL
4871,M,18-24,programmer,ME
2067,M,50-55,self-employed,N/A
2658,M,25-34,executive-managerial,IL
632,M,45-49,technician-engineer,NJ
2617,F,45-49,scientist,IL
4465,M,18-24,college-grad student,MA
2041,F,25-34,writer,VA
3754,M,>56,executive-managerial,CA
5187,M,18-24,self-employed,CT
1501,M,25-34,lawyer,TX
2304,M,45-49,programmer,CA
376,M,35-44,academic-educator,CO
2712,F,18-24,unemployed,FL
3406,F,25-34,executive-managerial,AZ
4392,M,18-24,college-grad student,OH
3767,M,25-34,other,CA
5861,F,50-55,academic-educator,WA
2473,M,25-34,programmer,WA
5629,M,25-34,sales-marketing,MA
1392,M,45-49,clerical-admin,CA
53,M,25-34,other,GU
248,M,18-24,technician-engineer,AR
484,F,<18,K-12 student,MN
3495,M,18-24,college-grad student,CA
608,M,18-24,college-grad student,PA
969,F,25-34,lawyer,PA
2234,M,>56,academic-educator,AZ
467,F,35-44,clerical-admin,MN
1695,M,25-34,academic-educator,OR
241,M,35-44,writer,MN
5329,F,25-34,customer service,CA
5967,M,50-55,self-employed,N/A
1545,M,25-34,writer,DC
1371,F,50-55,artist,IL
5414,M,<18,K-12 student,NJ
2964,M,25-34,technician-engineer,NJ
1700,M,25-34,writer,WA
4251,M,45-49,executive-managerial,IL
3973,M,25-34,executive-managerial,IL
4279,M,25-34,self-employed,OH
1647,M,18-24,tradesman-craftsman,WA
1266,M,25-34,college-grad student,PA
3514,M,18-24,programmer,GA
5733,M,25-34,college-grad student,MI
5789,M,25-34,technician-engineer,CA
5653,M,50-55,academic-educator,OK
2128,F,45-49,academic-educator,IN
2733,M,45-49,technician-engineer,CA
4714,M,50-55,academic-educator,MN
1388,M,>56,writer,NM
461,M,50-55,executive-managerial,MN
1075,F,25-34,doctor-health care,IL
5923,M,25-34,executive-managerial,VT
2666,M,45-49,self-employed,MO
1569,F,>56,retired,NJ
490,M,<18,K-12 student,MN
493,M,50-55,executive-managerial,MN
3431,F,45-49,doctor-health care,MI
3071,M,25-34,academic-educator,MA
177,M,50-55,academic-educator,WI
3742,M,25-34,other,CA
5509,M,25-34,other,NY
2445,M,25-34,other,MI
1620,M,25-34,writer,MI
4628,F,>56,doctor-health care,VA
1423,M,25-34,college-grad student,NJ
1898,M,25-34,programmer,CA
882,M,18-24,artist,MA
1213,M,50-55,other,CA
4271,M,35-44,executive-managerial,ID
3231,M,25-34,executive-managerial,MN
1481,M,35-44,technician-engineer,TX
1311,M,18-24,K-12 student,CA
4364,M,25-34,tradesman-craftsman,WA
1369,M,25-34,customer service,NY
1609,F,35-44,homemaker,CT
4308,M,25-34,other,FL
202,M,18-24,college-grad student,WI
2489,F,35-44,homemaker,TN
2837,M,18-24,other,MI
4123,F,25-34,college-grad student,IN
390,M,25-34,college-grad student,MN
3397,M,25-34,customer service,MN
4158,F,<18,K-12 student,CA
3702,M,35-44,scientist,WI
255,M,35-44,other,AZ
5446,F,50-55,academic-educator,MO
3473,F,35-44,self-employed,MA
313,F,18-24,college-grad student,MA
959,M,50-55,lawyer,OH
1483,M,18-24,college-grad student,WI
3937,M,>56,artist,CA
3318,M,>56,retired,GA
2933,M,35-44,lawyer,FL
4850,F,45-49,clerical-admin,OH
5952,F,45-49,academic-educator,TX
4024,M,25-34,customer service,OH
5086,M,25-34,academic-educator,VA
517,F,25-34,sales-marketing,MN
3666,M,45-49,other,NE
1564,M,50-55,academic-educator,MA
4498,M,50-55,executive-managerial,TX
3667,F,<18,K-12 student,NY
5332,M,18-24,college-grad student,GA
879,M,45-49,self-employed,CA
2068,F,35-44,programmer,OH
3769,M,25-34,scientist,MA
343,F,35-44,clerical-admin,MN
4775,M,25-34,technician-engineer,VA
5835,F,35-44,other,MN
2154,M,25-34,programmer,NE
2359,M,>56,retired,NY
3907,F,18-24,sales-marketing,VA
3988,F,25-34,sales-marketing,IL
4378,M,18-24,technician-engineer,CT
1085,M,25-34,executive-managerial,FL
5141,M,18-24,technician-engineer,MN
4929,M,45-49,academic-educator,MO
2766,M,45-49,executive-managerial,MN
1749,M,25-34,artist,NY
1035,M,18-24,artist,PA
1863,M,18-24,college-grad student,CA
4552,M,25-34,other,VA
938,F,25-34,academic-educator,MA
3909,M,18-24,technician-engineer,PA
1573,M,<18,other,TX
2758,M,>56,farmer,NY
4445,M,25-34,clerical-admin,DE
2810,F,<18,K-12 student,MO
4797,F,35-44,technician-engineer,UT
3496,M,35-44,customer service,CA
2761,M,35-44,doctor-health care,CO
699,M,18-24,other,OK
984,M,50-55,self-employed,CA
1334,M,50-55,executive-managerial,NY
5820,M,45-49,other,OH
1636,F,25-34,unemployed,IL
1003,M,25-34,artist,PA
2669,M,45-49,other,VA
531,F,18-24,sales-marketing,VA
772,M,18-24,programmer,NV
4832,M,25-34,sales-marketing,PA
3728,M,18-24,college-grad student,NJ
4358,M,35-44,technician-engineer,ME
4595,M,25-34,tradesman-craftsman,OR
2867,M,45-49,technician-engineer,PA
982,F,25-34,homemaker,CA
2143,M,18-24,college-grad student,FL
3774,M,25-34,other,IA
4435,M,25-34,executive-managerial,TX
5250,M,50-55,doctor-health care,MA
4989,M,25-34,other,MN
4022,M,35-44,sales-marketing,WI
6004,F,25-34,scientist,NC
4926,M,<18,K-12 student,MN
786,M,25-34,other,MN
3447,M,25-34,programmer,CA
3879,M,25-34,clerical-admin,ID
1764,M,18-24,other,TX
3317,M,25-34,college-grad student,TX
352,M,18-24,college-grad student,IL
3336,M,35-44,technician-engineer,CA
1403,F,25-34,other,WI
4103,M,18-24,self-employed,NY
846,M,25-34,customer service,CO
280,M,50-55,executive-managerial,PA
188,M,>56,self-employed,TX
2430,M,25-34,college-grad student,VA
2747,F,18-24,college-grad student,CA
4936,F,18-24,college-grad student,MO
5328,F,25-34,college-grad student,CA
615,M,50-55,technician-engineer,FL
5477,M,35-44,academic-educator,MN
3150,F,25-34,clerical-admin,CA
5802,F,25-34,other,WA
825,M,>56,academic-educator,MS
2171,M,35-44,other,MI
4317,F,35-44,sales-marketing,IL
3827,M,50-55,artist,NM
2501,M,25-34,scientist,TN
4191,F,45-49,scientist,MN
139,F,25-34,writer,OH
2376,M,25-34,academic-educator,NY
1959,F,50-55,retired,WI
1023,M,>56,retired,CA
1897,F,50-55,artist,CA
3017,F,35-44,homemaker,AZ
4305,F,45-49,technician-engineer,NC
3391,M,18-24,college-grad student,MI
3871,M,18-24,college-grad student,MO
1795,M,18-24,technician-engineer,MD
1343,M,35-44,sales-marketing,CA
5026,M,25-34,technician-engineer,CA
4195,F,>56,retired,CA
256,M,45-49,self-employed,MN
1526,M,>56,technician-engineer,CO
2980,M,45-49,executive-managerial,CA
5126,M,25-34,lawyer,MA
453,M,18-24,college-grad student,MN
1512,M,25-34,writer,NY
1915,M,50-55,retired,MA
2231,M,50-55,lawyer,AZ
2958,M,25-34,executive-managerial,CA
261,M,25-34,writer,TX
5458,F,18-24,artist,WA
4739,M,25-34,clerical-admin,FL
5184,M,18-24,writer,KS
185,M,45-49,other,NY
2071,M,45-49,executive-managerial,MA
1055,M,35-44,other,CA
3971,F,18-24,college-grad student,CO
328,M,35-44,programmer,CO
3819,M,25-34,programmer,AL
14,M,35-44,other,IL
5156,M,18-24,sales-marketing,NY
4006,M,<18,executive-managerial,MI
5060,M,45-49,technician-engineer,N/A
3278,M,35-44,executive-managerial,NY
2743,M,25-34,sales-marketing,AR
304,M,25-34,other,MN
4710,F,35-44,self-employed,VA
128,M,>56,doctor-health care,TN
5934,M,25-34,sales-marketing,TX
1303,M,25-34,unemployed,CA
1125,F,18-24,college-grad student,WI
920,M,18-24,college-grad student,CA
3295,M,18-24,tradesman-craftsman,CA
4064,M,45-49,other,MD
1531,M,45-49,technician-engineer,IL
5396,M,25-34,doctor-health care,NV
1298,M,35-44,doctor-health care,FL
4757,M,35-44,technician-engineer,VA
4428,M,25-34,sales-marketing,IN
5642,M,<18,K-12 student,OK
5421,M,35-44,technician-engineer,VA
4688,M,25-34,homemaker,OH
2844,M,25-34,writer,NM
4833,M,35-44,self-employed,CO
5512,F,25-34,technician-engineer,MA
1345,F,25-34,artist,TX
5005,M,45-49,self-employed,CA
1494,M,25-34,technician-engineer,TN
5933,M,25-34,artist,WA
504,M,25-34,artist,PA
5284,M,25-34,self-employed,MN
4808,M,35-44,other,N/A
2266,F,50-55,artist,MI
2741,M,25-34,sales-marketing,IL
1793,M,25-34,college-grad student,DC
3477,F,50-55,academic-educator,NY
5575,M,35-44,executive-managerial,DE
1249,M,35-44,artist,CA
371,M,18-24,college-grad student,MA
4239,M,50-55,executive-managerial,IA
1124,M,25-34,artist,IL
240,M,50-55,technician-engineer,MN
3703,M,18-24,programmer,OR
3650,M,25-34,other,IL
1122,M,>56,sales-marketing,MA
3656,F,45-49,customer service,FL
5936,M,18-24,college-grad student,TN
4861,M,25-34,college-grad student,N/A
238,F,50-55,executive-managerial,CA
2910,M,<18,unemployed,TX
4557,M,25-34,sales-marketing,MA
2429,M,25-34,artist,VA
4193,M,>56,retired,CA
3931,M,25-34,customer service,CA
1770,M,35-44,self-employed,TX
695,F,18-24,academic-educator,ME
2807,F,35-44,lawyer,VA
150,M,35-44,executive-managerial,WA
4773,M,45-49,academic-educator,VA
4930,M,50-55,technician-engineer,MO
3257,M,25-34,sales-marketing,CA
4532,M,25-34,executive-managerial,NY
4812,M,18-24,sales-marketing,WV
1043,F,50-55,lawyer,NM
2817,M,35-44,programmer,WI
3307,M,50-55,doctor-health care,CA
724,M,50-55,retired,CA
2895,M,25-34,lawyer,NJ
2302,M,50-55,programmer,MI
3821,M,25-34,writer,OH
3768,M,25-34,college-grad student,AZ
3781,F,>56,lawyer,WI
614,M,35-44,academic-educator,CA
3800,M,18-24,academic-educator,OH
4182,M,25-34,tradesman-craftsman,CO
3171,F,50-55,clerical-admin,NY
1672,M,25-34,technician-engineer,CA
4529,M,35-44,doctor-health care,UT
1275,M,50-55,technician-engineer,MS
5601,M,35-44,academic-educator,WA
4163,M,>56,executive-managerial,NJ
579,M,25-34,customer service,FL
465,M,18-24,unemployed,CA
87,M,25-34,sales-marketing,MI
5870,M,25-34,sales-marketing,WA
2540,F,45-49,doctor-health care,KY
454,M,25-34,writer,MN
5885,M,25-34,academic-educator,N/A
3941,M,45-49,technician-engineer,KY
2937,F,18-24,college-grad student,MI
4141,M,35-44,technician-engineer,CA
2147,F,18-24,other,IL
928,F,>56,self-employed,WA
5937,M,25-34,programmer,IL
2984,M,25-34,college-grad student,MI
229,M,18-24,K-12 student,ME
5797,M,25-34,executive-managerial,TX
5065,M,25-34,sales-marketing,NC
791,M,35-44,executive-managerial,NC
5876,M,50-55,executive-managerial,GA
4117,M,18-24,college-grad student,OH
508,M,25-34,programmer,MN
3090,M,25-34,artist,CA
5016,F,35-44,academic-educator,NV
1832,F,18-24,college-grad student,NY
3803,F,35-44,homemaker,PA
6036,F,25-34,scientist,FL
5146,M,>56,academic-educator,ME
4473,M,35-44,academic-educator,CA
102,M,35-44,unemployed,MD
3523,M,35-44,executive-managerial,WI
4267,M,35-44,executive-managerial,MA
2564,F,35-44,writer,OH
3238,M,35-44,executive-managerial,NY
4257,M,50-55,self-employed,TN
360,M,35-44,technician-engineer,NC
4897,M,35-44,self-employed,PA
1865,F,18-24,academic-educator,CA
4750,F,25-34,other,CA
5225,M,18-24,college-grad student,MN
893,F,50-55,doctor-health care,AZ
5304,F,35-44,homemaker,MN
4269,M,35-44,tradesman-craftsman,NC
3535,M,45-49,tradesman-craftsman,TX
1436,F,50-55,doctor-health care,OR
4541,M,<18,K-12 student,MN
1974,M,35-44,technician-engineer,NY
3127,F,25-34,other,NY
1047,M,18-24,other,IL
2404,M,18-24,executive-managerial,MO
1304,M,25-34,sales-marketing,OR
1180,F,50-55,writer,CA
2705,M,25-34,academic-educator,NC
2122,M,35-44,programmer,IL
29,M,35-44,executive-managerial,FL
3970,F,25-34,artist,RI
337,M,18-24,unemployed,CO
106,F,35-44,lawyer,TX
1242,F,35-44,other,NY
2150,F,18-24,college-grad student,VA
4145,F,50-55,academic-educator,TX
3449,M,25-34,sales-marketing,MA
3250,M,25-34,college-grad student,CA
5295,M,35-44,executive-managerial,MN
298,F,18-24,college-grad student,PA
2863,F,25-34,artist,NC
4212,M,>56,tradesman-craftsman,MN
189,M,18-24,other,IL
123,M,35-44,homemaker,KS
131,M,18-24,college-grad student,CT
1281,M,25-34,unemployed,OR
201,F,35-44,artist,MN
2048,M,50-55,doctor-health care,MI
1385,F,25-34,customer service,CA
5167,M,18-24,scientist,CT
521,M,>56,executive-managerial,MN
3861,M,18-24,college-grad student,NY
1575,F,50-55,executive-managerial,CA
4453,M,35-44,other,CA
2006,M,35-44,other,KS
4966,M,50-55,sales-marketing,MN
